,id,date,time,username,name,tweet,Valor,replies_count,retweets_count,likes_count
1542,1.38E+18,4/20/2021,22:32:15,anagdbapv,DiosSiemprePuedeMás.,"@Franco50641733 @DiarioTalCual En el mundo, el virus chino. Pero el problema no es otro país para el venezolano, el problema stá en Venezuela, los criminales de lesa humanidad, violadores de DDHH y cómplices stán en Venezuela, responsable de la migrac",-0.5,0,0,1
1543,1.38E+18,4/20/2021,22:18:12,estaywalker,Mauricio Estay💚🇨🇱,@biobio @ChileONU porque no se ocupan de  @NicolasMaduro y su dictadura para detener la migración desde Venezuela ? #NoMasONU,-0.5,0,0,0
1544,1.38E+18,4/20/2021,21:45:23,lictuslictus,Gabriel,"Lo único por lo que será recordado en un libro de historia @ppkamigo fue por haber traído la migración venezolana e indultado a Fujimori. De ahí no se ninguna obra pública, es lamentable que tanto equipo de lujo para NADA. Gracias a ti @KeikoFujimori",0,0,0,1
1545,1.38E+18,4/20/2021,21:33:38,magallego58,marino ramirez,"@marioherzam Completamente de acuerdo y derrotamos el comunismo y así evitamos  expropiaciones,  migración de empresarios hacia otros países y una narcodictadura peor que Venezuela.",-0.5,0,1,3
1546,1.38E+18,4/20/2021,21:30:39,luzsarela,Sarela Orihuela,"@GretelHuapaya @jose_edg @patriciov La migracion venezolana trajo mas pobreza al Perú, el país tiene q vacunarlos, darles salud, educación porq van a las escuelas publicas, ojo con eso no quiero decir q tengo xenofobia, no es facil dejar todo en tu pai",0,1,0,0
1547,1.38E+18,4/20/2021,21:00:08,fredigm3,Alessandro ✌🍀,"@KeikoFujimori Si con esa firmeza hubiera encarado la migración Venezolana a sus 73 congresistas, fuera! Fingida",-0.5,0,1,3
1548,1.38E+18,4/20/2021,20:00:08,johannamndez18,Johanna Méndez,@escovargabriela Por lo menos no dirán que su país se volvió 💩💩💩💩💩 por culpa de la migración venezolana. Ellos sólitos eligieron vivir en Sucialismo.,-0.5,0,0,0
1549,1.38E+18,4/20/2021,19:38:10,sorayajperez,Soraya Pérez,"#CaminoAlaCumbre #MaduroManchaLaCumbre Rechazamos la invitación de Nicolás Maduro a la @CumbreIberoA Es darle la espalda al pueblo de Venezuela e insultar a las víctimas de violaciones de #DDHH y a quienes resisten en Vzla, como a los millones de venezolanos en migracion forzosa.",-0.5,0,3,3
1550,1.38E+18,4/20/2021,19:08:41,14ejsr,Todo es posible!!!👊👊,@canalN_ Si el socialismo  cubano  llega a peru estarán peor que Haití y regresaran a los viejos tiempos de migración masiva.  El socialismo de Cuba destruyó a la nación más Rica en minerales del planeta  Venezuela. Imaginen como va quedar Peru.,0,8,4,20
1551,1.38E+18,4/20/2021,17:54:37,paezreconcilia,PáezTácticoTemplario.·.,"@juanrallo Venezuela ...  Después de 1958 ... Cayó en el populismo ! .. Los políticos SE  dedicaron a .. Importar votos, traídos  por una migración sin educación de ningún tipo !  Llenaron las ciudades con ""cinturones"" de miseria y manipulación ! ",-1,1,0,1
